Region	year	Unemployment
Auvergne Rhone Alpes	2003	7.01285714285714
Bourgogne Franche Comte	2003	6.975
Bretagne	2003	6.64444444444444
Centre Val de Loire	2003	7.4
Corse	2003	9.46785714285714
Grand Est	2003	7.33387096774194
Hauts de France	2003	10.0615384615385
Ile de France	2003	6.9421052631579
Normandie	2003	7.83625
Nouvelle Aquitaine	2003	7.65725806451613
Occitanie	2003	9.38583333333333
Pays de la Loire	2003	6.37105263157895
Provence Alpes Cote d'Azur	2003	9.3985294117647
Auvergne Rhone Alpes	2004	7.24714285714286
Bourgogne Franche Comte	2004	7.26956521739131
Bretagne	2004	6.83055555555556
Centre Val de Loire	2004	7.93815789473684
Corse	2004	9.76785714285714
Grand Est	2004	7.88629032258064
Hauts de France	2004	10.5336538461538
Ile de France	2004	7.39868421052632
Normandie	2004	8.2325
Nouvelle Aquitaine	2004	7.94193548387097
Occitanie	2004	9.59583333333333
Pays de la Loire	2004	6.75263157894737
Provence Alpes Cote d'Azur	2004	9.44264705882353
Auvergne Rhone Alpes	2005	7.22857142857143
Bourgogne Franche Comte	2005	7.37282608695652
Bretagne	2005	6.85416666666667
Centre Val de Loire	2005	7.92631578947369
Corse	2005	9.6
Grand Est	2005	8.15483870967742
Hauts de France	2005	10.8221153846154
Ile de France	2005	7.36184210526316
Normandie	2005	8.325
Nouvelle Aquitaine	2005	8.02177419354839
Occitanie	2005	9.67666666666667
Pays de la Loire	2005	6.77894736842105
Provence Alpes Cote d'Azur	2005	9.48529411764706
Auvergne Rhone Alpes	2006	7.24357142857143
Bourgogne Franche Comte	2006	7.44891304347826
Bretagne	2006	6.92361111111111
Centre Val de Loire	2006	7.78684210526316
Corse	2006	9.425
Grand Est	2006	8.31209677419355
Hauts de France	2006	11.1211538461538
Ile de France	2006	7.13421052631579
Normandie	2006	8.32
Nouvelle Aquitaine	2006	7.99274193548387
Occitanie	2006	9.8175
Pays de la Loire	2006	6.85526315789474
Provence Alpes Cote d'Azur	2006	9.48529411764706
Auvergne Rhone Alpes	2007	6.67357142857143
Bourgogne Franche Comte	2007	6.60326086956522
Bretagne	2007	6.32916666666667
Centre Val de Loire	2007	6.95657894736842
Corse	2007	8.70357142857143
Grand Est	2007	7.41935483870968
Hauts de France	2007	10.1423076923077
Ile de France	2007	6.34473684210526
Normandie	2007	7.455
Nouvelle Aquitaine	2007	7.19354838709677
Occitanie	2007	9.10166666666667
Pays de la Loire	2007	6.06184210526316
Provence Alpes Cote d'Azur	2007	8.87794117647059
Auvergne Rhone Alpes	2008	6.32285714285714
Bourgogne Franche Comte	2008	6.24347826086956
Bretagne	2008	5.83055555555555
Centre Val de Loire	2008	6.62763157894737
Corse	2008	7.78214285714286
Grand Est	2008	6.92741935483871
Hauts de France	2008	9.68076923076923
Ile de France	2008	5.67631578947368
Normandie	2008	6.9875
Nouvelle Aquitaine	2008	6.82903225806452
Occitanie	2008	8.61583333333333
Pays de la Loire	2008	5.6921052631579
Provence Alpes Cote d'Azur	2008	8.15588235294118
Auvergne Rhone Alpes	2009	8.16714285714286
Bourgogne Franche Comte	2009	8.28804347826087
Bretagne	2009	7.35972222222222
Centre Val de Loire	2009	8.42368421052631
Corse	2009	8.55
Grand Est	2009	8.86935483870968
Hauts de France	2009	11.7057692307692
Ile de France	2009	7.04736842105263
Normandie	2009	8.8775
Nouvelle Aquitaine	2009	8.46209677419355
Occitanie	2009	10.24
Pays de la Loire	2009	7.82631578947368
Provence Alpes Cote d'Azur	2009	9.74705882352941
Auvergne Rhone Alpes	2010	8.03571428571429
Bourgogne Franche Comte	2010	8.21739130434783
Bretagne	2010	7.51805555555555
Centre Val de Loire	2010	8.65263157894737
Corse	2010	9.05357142857143
Grand Est	2010	8.7758064516129
Hauts de France	2010	11.8173076923077
Ile de France	2010	7.28815789473684
Normandie	2010	8.80625
Nouvelle Aquitaine	2010	8.60806451612903
Occitanie	2010	10.4533333333333
Pays de la Loire	2010	7.7
Provence Alpes Cote d'Azur	2010	9.93235294117647
Auvergne Rhone Alpes	2011	7.83285714285714
Bourgogne Franche Comte	2011	7.86521739130435
Bretagne	2011	7.44722222222222
Centre Val de Loire	2011	8.6078947368421
Corse	2011	9.36428571428572
Grand Est	2011	8.61774193548387
Hauts de France	2011	11.7865384615385
Ile de France	2011	7.26315789473684
Normandie	2011	8.78125
Nouvelle Aquitaine	2011	8.61774193548387
Occitanie	2011	10.675
Pays de la Loire	2011	7.325
Provence Alpes Cote d'Azur	2011	10.2
Auvergne Rhone Alpes	2012	8.40714285714285
Bourgogne Franche Comte	2012	8.48369565217391
Bretagne	2012	8.17083333333333
Centre Val de Loire	2012	9.31842105263158
Corse	2012	9.97857142857143
Grand Est	2012	9.32822580645161
Hauts de France	2012	12.6201923076923
Ile de France	2012	7.71578947368421
Normandie	2012	9.29125
Nouvelle Aquitaine	2012	9.2
Occitanie	2012	11.455
Pays de la Loire	2012	7.97631578947369
Provence Alpes Cote d'Azur	2012	10.7926470588235
Auvergne Rhone Alpes	2013	8.79285714285714
Bourgogne Franche Comte	2013	8.99130434782609
Bretagne	2013	8.74861111111111
Centre Val de Loire	2013	9.91842105263158
Corse	2013	10.7642857142857
Grand Est	2013	9.97741935483871
Hauts de France	2013	13.1673076923077
Ile de France	2013	8.24473684210526
Normandie	2013	9.75
Nouvelle Aquitaine	2013	9.59274193548387
Occitanie	2013	12.1741666666667
Pays de la Loire	2013	8.58026315789474
Provence Alpes Cote d'Azur	2013	11.3558823529412
Auvergne Rhone Alpes	2014	8.77785714285714
Bourgogne Franche Comte	2014	8.90978260869565
Bretagne	2014	8.80555555555556
Centre Val de Loire	2014	9.95131578947368
Corse	2014	11.1035714285714
Grand Est	2014	9.90645161290323
Hauts de France	2014	12.8788461538462
Ile de France	2014	8.36447368421052
Normandie	2014	9.6675
Nouvelle Aquitaine	2014	9.59112903225807
Occitanie	2014	12.2316666666667
Pays de la Loire	2014	8.62368421052632
Provence Alpes Cote d'Azur	2014	11.4529411764706
Auvergne Rhone Alpes	2015	8.94785714285714
Bourgogne Franche Comte	2015	9.05869565217391
Bretagne	2015	8.94722222222222
Centre Val de Loire	2015	10.0407894736842
Corse	2015	11.6571428571429
Grand Est	2015	9.95564516129032
Hauts de France	2015	12.9105769230769
Ile de France	2015	8.46315789473684
Normandie	2015	9.73125
Nouvelle Aquitaine	2015	9.76370967741935
Occitanie	2015	12.3666666666667
Pays de la Loire	2015	8.77105263157895
Provence Alpes Cote d'Azur	2015	11.5882352941176
Auvergne Rhone Alpes	2016	8.73714285714286
Bourgogne Franche Comte	2016	8.80434782608696
Bretagne	2016	8.70972222222222
Centre Val de Loire	2016	9.925
Corse	2016	11.4678571428571
Grand Est	2016	9.59032258064516
Hauts de France	2016	12.5432692307692
Ile de France	2016	8.29868421052632
Normandie	2016	9.43125
Nouvelle Aquitaine	2016	9.48870967741935
Occitanie	2016	12.0116666666667
Pays de la Loire	2016	8.35657894736842
Provence Alpes Cote d'Azur	2016	11.3485294117647
